id;part_type;producer;price;FK_id_repair
741;Ignition coil;Delphi;100;612
742;Brake pads;Brembo;200;616
743;Engine mount;DEA;50;619
744;Thermostat;Stant;50;628
745;PCV valve;Standard Motor Products;25;628
746;Wheel alignment;-;400;639
747;Control arm;Moog;75;642
748;Wheel hub assembly;Timken;200;639
749;Headlight assembly;TYC;100;640
750;Transmission fluid change;Valvoline;200;641
751;Control arm bushing;Febi;50;645
752;Engine oil cooler;Dorman;75;646
753;Ignition control module;ACDelco;50;635
754;Control arm;Moog;150;640
755;Serpentine belt;Gates;75;649
756;Ignition switch;Standard Motor Products;25;650
757;Brake master cylinder;Centric;100;651
758;Tie rod end;Mevotech;50;632
759;Power steering hose;Gates;100;641
760;Headlight assembly;TYC;100;645
761;Headlight assembly;TYC;100;647
762;Throttle body;Dorman;75;650
763;Control arm;Dorman;50;655
764;Fuel tank;Spectra Premium;200;657
765;Windshield wipers;Rain-X;50;657
766;Camshaft position sensor;Dorman;100;636
767;Tire rotation;-;100;642
768;Wheel alignment;-;400;644
769;Brake fluid flush;Castrol;100;644
770;Fuel tank filler neck;Dorman;50;658
771;Transmission control module;ACDelco;200;671
772;Muffler;Walker;100;672
773;Battery;AC Delco;350;643
774;Brake rotor;Centric;100;656
775;Brake fluid flush;Castrol;100;665
776;Control arm bushing;Dorman;25;666
777;Camshaft position sensor;Dorman;100;669
778;Muffler;Walker;100;646
779;Ignition switch;ACDelco;50;648
780;Transmission mount;Westar;25;670
781;Headlight bulb;Philips;25;672
782;Alternator;Bosch;300;678
783;Control arm;Moog;75;651
784;Camshaft position sensor;Dorman;100;661
785;MAP sensor;Standard Motor Products;50;662
786;Fuel injector;Bosch;100;664
787;Transmission shift cable;Pioneer Cables;50;665
788;Control arm;Dorman;50;666
789;Brake rotor;Centric;100;679
790;Thermostat;Stant;50;680
791;Power steering hose;Gates;100;665
792;Ignition coil;Delphi;100;667
793;MAP sensor;Standard Motor Products;50;657
794;EGR valve;Standard Motor Products;50;659
795;Transmission pan gasket;Fel-Pro;25;661
796;MAP sensor;Standard Motor Products;50;666
797;Transmission shift cable;Pioneer Cables;50;675
798;Oxygen sensor;Bosch;150;676
799;Fuel pump;Delphi;150;688
800;CV joint;GSP;100;691
801;Spark plugs;NGK;25;693
802;Oil change;Mobil 1;150;695
803;Battery;AC Delco;350;671
804;CV joint;GSP;100;686
805;Fuel pressure regulator;Delphi;25;692
806;Fuel pressure regulator;Delphi;25;693
807;EGR valve;Standard Motor Products;50;695
808;Axle shaft;A1 Cardone;100;671
809;Transmission mount;Westar;25;695
810;Spark plugs;NGK;25;700
811;Engine control module;A1 Cardone;200;702
812;Wheel lug nuts;Dorman;25;675
813;Exhaust manifold;Dorman;100;675
814;Ignition switch;Standard Motor Products;25;679
815;Control arm;Dorman;50;688
816;Headlight assembly;TYC;100;696
817;Ball joint;Moog;50;700
818;Transmission fluid change;Valvoline;200;700
819;Brake fluid flush;Castrol;100;702
820;Drive belt;Gates;25;691
821;Oxygen sensor;Bosch;150;696
822;EGR valve;ACDelco;75;702
823;Transmission pan gasket;Fel-Pro;25;710
824;Suspension strut;Monroe;200;717
825;Ignition coil;Delphi;100;687
826;Control arm;Dorman;50;689
827;Catalytic converter;MagnaFlow;300;699
828;Transmission pan gasket;Fel-Pro;25;704
829;Transmission control module;ACDelco;200;707
830;Brake master cylinder;Centric;100;709
831;Exhaust manifold;Dorman;100;710
832;Suspension strut;Monroe;200;711
833;Ball joint;Moog;50;712
834;CV joint;GSP;100;713
835;Oil change;Mobil 1;150;716
836;Drive belt;Gates;25;697
837;Ignition coil;Delphi;100;708
838;Alternator;Bosch;300;717
839;Battery;AC Delco;350;718
840;Battery;AC Delco;350;721
841;Control arm bushing;Dorman;25;697
842;Alternator;Bosch;300;711
843;Drive belt;Gates;25;718
844;Fuel pressure regulator;Delphi;25;722
845;Transmission fluid cooler;Hayden;50;698
846;Fuel pump;Delphi;150;706
847;Transmission speed sensor;ACDelco;25;717
848;Mass airflow sensor;Spectra Premium;150;727
849;Tie rod end;Mevotech;50;728
850;Control arm bushing;Febi;50;732
851;Spark plugs;NGK;25;724
852;Transmission speed sensor;ACDelco;25;731
853;Transmission control module;ACDelco;200;739
854;Crankshaft position sensor;Beck/Arnley;50;708
855;Axle shaft;A1 Cardone;100;723
856;Transmission fluid cooler;Hayden;50;724
857;Clutch kit;Exedy;200;727
858;Serpentine belt;Gates;75;741
859;Catalytic converter;MagnaFlow;300;742
860;Exhaust manifold;Dorman;100;736
861;Fuel tank filler neck;Dorman;50;739
862;Transmission mount;Anchor;50;743
863;Ignition coil;Delphi;100;744
864;Transmission mount;Anchor;50;747
865;Ignition switch;Standard Motor Products;25;748
866;Battery;AC Delco;350;726
867;Transmission filter;Fram;50;731
868;Wheel lug nuts;Dorman;25;732
869;Fuel pressure regulator;Delphi;25;738
870;Tie rod end;Mevotech;50;743
871;EGR valve gasket;Fel-Pro;25;744
872;Ignition coil;Delphi;100;756
873;Engine oil cooler;Dorman;75;757
874;Tire rotation;-;100;736
875;EGR valve gasket;Fel-Pro;25;737
876;Transmission speed sensor;ACDelco;25;746
877;Thermostat;Stant;50;758
878;Fuel injector;Bosch;100;739
879;Ball joint;Moog;50;740
880;Transmission control module;ACDelco;200;743
881;Water pump;Airtex;200;754
882;EGR valve;ACDelco;75;760
883;Catalytic converter;MagnaFlow;300;763
884;Ball joint;Moog;50;764
885;Engine mount;DEA;50;765
886;Oil change;Mobil 1;150;765
887;Ball joint;Moog;50;754
888;Ignition control module;ACDelco;50;764
889;Battery;AC Delco;350;771
890;Fuel tank filler neck;Dorman;50;745
891;Brake rotor;Centric;100;747
892;Alternator;Bosch;300;748
893;EGR valve;ACDelco;75;763
894;Ignition control module;ACDelco;50;765
895;Fuel injector;Bosch;100;766
896;Brake fluid flush;Castrol;100;774
897;Fuel pressure regulator;Delphi;25;776
898;Water pump;Airtex;200;745
899;Brake rotor;Centric;100;747
900;Control arm bushing;Dorman;25;767
901;Engine control module;A1 Cardone;200;770
902;Ignition coil;Bosch;50;776
903;Oxygen sensor;Bosch;150;781
904;Brake fluid flush;Castrol;100;782
905;Windshield wipers;Rain-X;50;760
906;Windshield wipers;Rain-X;50;760
907;Mass airflow sensor;Spectra Premium;150;761
908;Control arm;Dorman;50;766
909;Transmission fluid cooler;Hayden;50;767
910;Exhaust manifold;Dorman;100;767
911;Spark plugs;NGK;25;771
912;Wheel lug nuts;Dorman;25;772
913;Catalytic converter;MagnaFlow;300;784
914;Ball joint;Moog;50;784
915;Fuel pump;Delphi;150;789
916;EGR valve;Standard Motor Products;50;754
917;Headlight assembly;TYC;100;755
918;Engine control module;A1 Cardone;200;768
919;Crankshaft position sensor;Beck/Arnley;50;774
920;EGR valve;Standard Motor Products;50;778
921;Control arm bushing;Febi;50;780
922;Headlight bulb;Philips;25;783
923;Brake caliper;Cardone;50;783
924;Wheel hub assembly;Timken;200;785
925;Radiator fan assembly;TYC;100;770
926;Brake master cylinder;Centric;100;776
927;EGR valve;Standard Motor Products;50;782
928;Transmission fluid change;Valvoline;200;785
929;Brake rotor;Centric;100;789
930;Transmission fluid change;Valvoline;200;791
931;Ball joint;Moog;50;792
932;Power steering hose;Gates;100;795
933;Alternator;Bosch;300;804
934;Brake pads;Brembo;200;804
935;Radiator fan assembly;TYC;100;772
936;Suspension strut;Monroe;200;785
937;Spark plugs;NGK;25;797
938;Transmission fluid change;Valvoline;200;801
939;Radiator;Denso;350;812
940;Headlight assembly;TYC;100;775
941;Transmission speed sensor;ACDelco;25;779
942;Transmission control module;ACDelco;200;781
943;Catalytic converter;MagnaFlow;300;783
944;Spark plugs;NGK;25;787
945;Wheel hub assembly;Timken;200;789
946;Camshaft position sensor;Dorman;100;793
947;Transmission mount;Anchor;50;799
948;Transmission mount;Anchor;50;800
949;Control arm;Moog;150;803
950;Catalytic converter;MagnaFlow;300;817
951;Fuel tank filler neck;Dorman;50;788
952;Camshaft position sensor;Dorman;100;793
953;PCV valve;Standard Motor Products;25;803
954;Fuel pump;Delphi;150;815
955;Alternator;Bosch;300;823
956;Headlight bulb;Philips;25;786
957;Tie rod end;Mevotech;50;829
958;Muffler;Walker;100;792
959;Control arm bushing;Febi;50;803
960;Wheel cylinder;Raybestos;50;806
961;Drive belt;Gates;25;808
962;Engine oil cooler;Dorman;75;809
963;Oxygen sensor;Bosch;150;818
964;Transmission fluid change;Valvoline;200;820
965;Transmission shift cable;Pioneer Cables;50;798
966;Fuel pump;Delphi;150;800
967;Brake pads;Brembo;200;811
968;Brake caliper;Cardone;50;825
969;MAP sensor;Standard Motor Products;50;826
970;Thermostat;Stant;50;806
971;Brake rotor;Centric;100;808
972;Power steering hose;Gates;100;811
973;Transmission fluid change;Valvoline;200;815
974;Brake fluid flush;Castrol;100;843
975;Control arm;Moog;75;816
976;Power steering pump;Cardone;150;819
977;Blower motor;TYC;75;822
978;Oxygen sensor;Bosch;150;827
979;Engine oil cooler;Dorman;75;828
980;CV joint;GSP;100;829
981;Wheel alignment;-;400;830
982;Serpentine belt;Gates;75;831
983;CV joint;GSP;100;837
984;Headlight assembly;TYC;100;822
985;Transmission pan gasket;Fel-Pro;25;826
986;Tie rod end;Mevotech;50;850
991;Ignition switch;ACDelco;50;841
988;Fuel pump;Delphi;150;826
989;Tie rod end;Mevotech;50;827
990;Exhaust manifold;Dorman;100;832
991;Ignition switch;ACDelco;50;841
992;Throttle body;Dorman;75;845
993;Wheel alignment;-;400;848
994;Transmission mount;Westar;25;836
995;Fuel tank filler neck;Dorman;50;844
996;Control arm;Moog;75;845
997;Ignition control module;ACDelco;50;847
998;Wheel alignment;-;400;852
999;Transmission shift solenoid;Rostra;75;865
1000;Ignition switch;ACDelco;50;837
1001;Fuel pressure regulator;Delphi;25;848
1002;CV joint;GSP;100;840
1003;Axle shaft;A1 Cardone;100;843
1004;Headlight bulb;Philips;25;844
1005;Ball joint;Moog;50;855
1006;Wheel hub assembly;Timken;200;856
1007;Ball joint;Moog;50;860
1008;PCV valve;Standard Motor Products;25;861
1009;Fuel pump;Delphi;150;863
1010;Transmission mount;Westar;25;874
1011;Headlight assembly;TYC;100;876
1012;Engine control module;A1 Cardone;200;858
1013;Transmission speed sensor;ACDelco;25;866
1014;Wheel cylinder;Raybestos;50;869
1015;Windshield wipers;Rain-X;50;871
1016;Camshaft position sensor;Dorman;100;874
1017;Exhaust manifold;Dorman;100;849
1018;Ignition switch;ACDelco;50;854
1019;Fuel pressure regulator;Delphi;25;866
1020;Control arm bushing;Dorman;25;870
1021;Ignition control module;ACDelco;50;871
1022;Alternator;Bosch;300;876
1023;Exhaust manifold;Dorman;100;878
1024;Control arm;Dorman;50;881
1025;Transmission mount;Anchor;50;882
1026;Fuel filter;Wix;50;867
1027;Drive belt;Gates;25;868
1028;Ignition switch;ACDelco;50;881
1029;MAP sensor;Standard Motor Products;50;884
1030;Air filter;Fram;50;864
1031;Axle shaft;A1 Cardone;100;876
1032;Fuel tank;Spectra Premium;200;879
1033;Fuel tank;Spectra Premium;200;886
1034;Control arm;Dorman;50;864
1035;EGR valve;Standard Motor Products;50;891
1036;Mass airflow sensor;Spectra Premium;150;894
1037;EGR valve;ACDelco;75;895
1038;Wheel cylinder;Raybestos;50;874
1039;Thermostat;Stant;50;883
1040;Catalytic converter;MagnaFlow;300;885
1041;Transmission speed sensor;ACDelco;25;887
1042;Ignition control module;ACDelco;50;893
1043;Water pump;Airtex;200;895
1044;Transmission fluid change;Valvoline;200;891
1045;Blower motor;TYC;75;892
1046;Drive belt;Gates;25;884
1047;Wheel hub assembly;Timken;200;905
1048;Transmission shift cable;Pioneer Cables;50;908
1049;Ignition coil;Bosch;50;911
1050;Wheel alignment;-;400;881
1051;Tire rotation;-;100;882
1052;Serpentine belt;Gates;75;900
1053;Fuel pump;Delphi;150;904
1054;Transmission control module;ACDelco;200;904
1055;Brake caliper;Cardone;50;912
1056;Transmission speed sensor;ACDelco;25;893
1057;EGR valve;Standard Motor Products;50;911
1058;Transmission filter;Fram;50;902
1059;Alternator;Bosch;300;910
1060;Engine mount;DEA;50;911
1061;MAP sensor;Standard Motor Products;50;914
1062;Axle shaft;A1 Cardone;100;915
1063;Engine control module;A1 Cardone;200;920
1064;Serpentine belt;Gates;75;925
1065;Fuel injector;Bosch;100;896
1066;Brake caliper;Cardone;50;896
1067;Drive belt;Gates;25;901
1068;Engine oil cooler;Dorman;75;901
1069;PCV valve;Standard Motor Products;25;905
1070;Transmission control module;ACDelco;200;909
1071;Wheel cylinder;Raybestos;50;915
1072;EGR valve;ACDelco;75;918
1073;Power steering hose;Gates;100;927
1074;Brake rotor;Centric;100;931
1075;Windshield wipers;Rain-X;50;917
1076;Transmission mount;Westar;25;918
1077;Wheel cylinder;Raybestos;50;927
1078;Engine oil cooler;Dorman;75;932
1079;Headlight assembly;TYC;100;906
1080;Control arm bushing;Dorman;25;910
1081;Transmission shift cable;Pioneer Cables;50;925
1082;Brake fluid flush;Castrol;100;934
1083;Fuel tank;Spectra Premium;200;913
1084;Windshield wipers;Rain-X;50;923
1085;CV joint;GSP;100;935
1086;Fuel pump;Delphi;150;922
1087;Fuel tank filler neck;Dorman;50;947
1093;Control arm bushing;Febi;50;936
1089;Mass airflow sensor;Spectra Premium;150;918
1090;Wheel hub assembly;Timken;200;920
1091;Windshield wipers;Rain-X;50;924
1092;Brake pads;Brembo;200;935
1093;Control arm bushing;Febi;50;936
1094;Ignition switch;Standard Motor Products;25;926
1095;Alternator;Bosch;300;927
1096;Clutch kit;Exedy;200;929
1097;Ignition switch;ACDelco;50;949
1098;Fuel filter;Wix;50;957
1101;Spark plugs;NGK;25;936
1100;Exhaust manifold;Dorman;100;932
1101;Spark plugs;NGK;25;936
1102;Windshield wipers;Rain-X;50;937
1103;Air filter;Fram;50;942
1104;Shock absorber;KYB;75;948
1105;Brake pads;Brembo;200;935
1106;Transmission shift cable;Pioneer Cables;50;941
1107;Control arm;Moog;150;952
1108;Camshaft position sensor;Dorman;100;938
1109;Brake rotor;Centric;100;958
1110;Fuel tank;Spectra Premium;200;961
1111;Brake caliper;Cardone;50;972
1112;Clutch kit;Exedy;200;974
1113;EGR valve;ACDelco;75;947
1114;Windshield wipers;Rain-X;50;951
1115;Ball joint;Moog;50;963
1116;Engine mount;DEA;50;967
1117;Wheel bearing;SKF;50;969
1118;Throttle body;Dorman;75;974
1119;Thermostat;Stant;50;955
1120;Brake master cylinder;Centric;100;965
1121;Ignition switch;Standard Motor Products;25;971
1122;Power steering pump;Cardone;150;976
1123;Transmission fluid change;Valvoline;200;953
1124;Tire rotation;-;100;959
1125;Exhaust manifold;Dorman;100;963
1126;Brake caliper;Cardone;50;969
1127;Transmission shift solenoid;Rostra;75;975
1128;Drive belt;Gates;25;984
1129;Throttle body;Dorman;75;968
1130;Fuel pump;Delphi;150;974
1131;Engine control module;A1 Cardone;200;988
1132;CV joint;GSP;100;965
1133;Alternator;Bosch;300;970
1134;MAP sensor;Standard Motor Products;50;971
1135;Suspension strut;Monroe;200;978
1136;Control arm;Dorman;50;979
1137;Radiator fan assembly;TYC;100;994
1138;Shock absorber;KYB;75;995
1139;Wheel hub assembly;Timken;200;972
1140;Ignition switch;ACDelco;50;975
1141;Spark plugs;NGK;25;981
1142;Serpentine belt;Gates;75;984
1143;Transmission filter;Fram;50;985
1144;Transmission shift cable;Pioneer Cables;50;985
1145;Air filter;Fram;50;996
1146;Serpentine belt;Gates;75;1005
1147;Shock absorber;KYB;75;976
1148;Brake rotor;Centric;100;999
1149;CV joint;GSP;100;1007
1150;Ignition control module;ACDelco;50;1007
1151;Muffler;Walker;100;985
1152;Power steering pump;Cardone;150;990
1153;Transmission shift cable;Pioneer Cables;50;992
1154;Crankshaft position sensor;Beck/Arnley;50;1002
1155;Transmission filter;Fram;50;1003
1156;Fuel pump;Delphi;150;1004
1157;Control arm;Dorman;50;1008
1158;Throttle body;Dorman;75;1015
1160;Air filter;Fram;50;998
1160;Air filter;Fram;50;998
1161;Fuel pump;Delphi;150;1014
1162;Brake caliper;Cardone;50;991
1163;Ignition coil;Bosch;50;999
1164;Catalytic converter;MagnaFlow;300;1000
1165;EGR valve;Standard Motor Products;50;1010
1166;Ignition switch;Standard Motor Products;25;1016
1167;Control arm bushing;Febi;50;1023
1168;Control arm;Moog;150;1024
1169;Shock absorber;KYB;75;996
1170;Headlight bulb;Philips;25;997
1171;Transmission mount;Anchor;50;1018
1172;Transmission mount;Westar;25;1004
1173;Power steering pump;Cardone;150;1007
1174;Brake rotor;Centric;100;1010
1175;Wheel lug nuts;Dorman;25;1017
1176;Fuel filter;Wix;50;1018
1177;MAP sensor;Standard Motor Products;50;1011
1178;Blower motor;TYC;75;1023
1179;MAP sensor;Standard Motor Products;50;1024
1180;Brake rotor;Centric;100;1011
1181;Brake rotor;Centric;100;1016
1182;Transmission mount;Westar;25;1038
1183;Transmission filter;Fram;50;1040
1184;Wheel lug nuts;Dorman;25;1041
1185;Headlight assembly;TYC;100;1012
1186;Transmission mount;Anchor;50;1016
1187;Mass airflow sensor;Spectra Premium;150;1024
1188;Battery;AC Delco;350;1029
1189;Wheel cylinder;Raybestos;50;1031
1190;Transmission mount;Westar;25;1034
1191;Transmission mount;Anchor;50;1020
1192;Wheel lug nuts;Dorman;25;1028
1193;Fuel tank;Spectra Premium;200;1029
1194;Ignition coil;Bosch;50;1037
1195;Ignition coil;Delphi;100;1040
1196;Air filter;Fram;50;1044
1197;Crankshaft position sensor;Beck/Arnley;50;1048
1198;Transmission speed sensor;ACDelco;25;1032
1199;Mass airflow sensor;Spectra Premium;150;1035
1200;Spark plugs;NGK;25;1035
1201;Drive belt;Gates;25;1036
1202;Engine mount;DEA;50;1037
1203;Engine control module;A1 Cardone;200;1038
1204;CV joint;GSP;100;1041
1205;Headlight bulb;Philips;25;1042
1206;Shock absorber;KYB;75;1048
1207;Brake caliper;Cardone;50;1025
1208;Crankshaft position sensor;Beck/Arnley;50;1026
1209;Muffler;Walker;100;1034
1210;Oxygen sensor;Bosch;150;1034
1211;Transmission fluid change;Valvoline;200;1046
1212;Blower motor;TYC;75;1047
1213;Battery;AC Delco;350;1049
1214;Headlight assembly;TYC;100;1055
1215;Oxygen sensor;Bosch;150;1031
1216;Air filter;Fram;50;1045
1217;Blower motor;TYC;75;1058
1218;Fuel injector;Bosch;100;1059
1219;Fuel filter;Wix;50;1038
1220;Serpentine belt;Gates;75;1042
1221;Tie rod end;Mevotech;50;1050
1222;Blower motor;TYC;75;1050
1223;Transmission mount;Anchor;50;1065
1224;Ignition coil;Bosch;50;1070
1225;Clutch kit;Exedy;200;1050
1226;Radiator;Denso;350;1052
1227;Axle shaft;A1 Cardone;100;1058
1228;Thermostat;Stant;50;1061
1229;Suspension strut;Monroe;200;1047
1230;EGR valve gasket;Fel-Pro;25;1053
1231;Camshaft position sensor;Dorman;100;1057
1232;Transmission shift solenoid;Rostra;75;1062
1233;Oxygen sensor;Bosch;150;1066
1234;EGR valve gasket;Fel-Pro;25;1072
1235;Muffler;Walker;100;1077
1236;Tire rotation;-;100;1078
1237;Water pump;Airtex;200;1061
1238;Transmission fluid cooler;Hayden;50;1062
1239;Ignition coil;Delphi;100;1064
1240;Ignition switch;Standard Motor Products;25;1073
1241;Water pump;Airtex;200;1087
1242;Clutch kit;Exedy;200;1064
1243;Drive belt;Gates;25;1066
1244;Serpentine belt;Gates;75;1069
1245;Ignition switch;Standard Motor Products;25;1085
1246;Transmission pan gasket;Fel-Pro;25;1068
1247;Transmission fluid change;Valvoline;200;1073
1248;Ignition coil;Delphi;100;1082
1249;Brake fluid flush;Castrol;100;1092
1250;PCV valve;Standard Motor Products;25;1096
1251;Spark plugs;NGK;25;1066
1252;Fuel pump;Delphi;150;1083
1253;CV joint;GSP;100;1094
1254;Battery;AC Delco;350;1100
1255;Mass airflow sensor;Spectra Premium;150;1102
1256;Muffler;Walker;100;1103
1257;Power steering pump;Cardone;150;1092
1258;MAP sensor;Standard Motor Products;50;1103
1259;Power steering pump;Cardone;150;1079
1260;Transmission fluid change;Valvoline;200;1079
1261;Water pump;Airtex;200;1080
1262;Ball joint;Moog;50;1091
1263;CV joint;GSP;100;1083
1264;Transmission fluid change;Valvoline;200;1090
1265;Clutch kit;Exedy;200;1090
1266;Transmission mount;Anchor;50;1103
1267;Control arm bushing;Febi;50;1107
1268;Fuel filter;Wix;50;1108
1270;Wheel cylinder;Raybestos;50;1089
1270;Wheel cylinder;Raybestos;50;1089
1271;Tire rotation;-;100;1091
1272;Fuel pressure regulator;Delphi;25;1093
1273;Ignition coil;Bosch;50;1099
1274;Water pump;Airtex;200;1105
1275;Transmission shift solenoid;Rostra;75;1111
1276;Transmission fluid change;Valvoline;200;1111
1277;Transmission fluid change;Valvoline;200;1113
1278;Serpentine belt;Gates;75;1093
1279;Wheel cylinder;Raybestos;50;1098
1280;Transmission shift cable;Pioneer Cables;50;1101
1281;Transmission mount;Anchor;50;1107
1282;Exhaust manifold;Dorman;100;1124
1283;Engine mount;DEA;50;1124
1284;Ignition switch;ACDelco;50;1096
1285;Camshaft position sensor;Dorman;100;1100
1286;Control arm;Moog;150;1101
1287;Wheel lug nuts;Dorman;25;1102
1288;Transmission filter;Fram;50;1109
1289;Radiator fan assembly;TYC;100;1113
1290;Drive belt;Gates;25;1115
1291;Fuel tank;Spectra Premium;200;1115
1292;Power steering pump;Cardone;150;1117
1293;Transmission mount;Westar;25;1121
1294;Transmission mount;Anchor;50;1129
1295;Control arm;Moog;150;1119
1296;Power steering hose;Gates;100;1128
1297;Shock absorber;KYB;75;1130
1298;Water pump;Airtex;200;1106
1299;Transmission mount;Westar;25;1128
1300;Ignition switch;Standard Motor Products;25;1134
1301;Transmission fluid cooler;Hayden;50;1141
1303;Ball joint;Moog;50;1114
1303;Ball joint;Moog;50;1114
1304;Transmission pan gasket;Fel-Pro;25;1125
1305;Spark plugs;NGK;25;1128
1306;Ignition coil;Delphi;100;1129
1307;Wheel alignment;-;400;1145
1308;Brake pads;Brembo;200;1124
1309;Air filter;Fram;50;1139
1310;Brake rotor;Centric;100;1144
1311;Control arm bushing;Dorman;25;1146
1312;Air filter;Fram;50;1150
1313;PCV valve;Standard Motor Products;25;1154
1314;Headlight assembly;TYC;100;1129
1315;Power steering hose;Gates;100;1135
1316;Engine control module;A1 Cardone;200;1137
1317;Power steering hose;Gates;100;1143
1318;Engine mount;DEA;50;1145
1319;Power steering pump;Cardone;150;1153
1320;Alternator;Bosch;300;1125
1321;Spark plugs;NGK;25;1126
1322;Wheel alignment;-;400;1151
1323;Tie rod end;Mevotech;50;1151
1324;Catalytic converter;MagnaFlow;300;1152
1325;Throttle body;Dorman;75;1160
1326;EGR valve gasket;Fel-Pro;25;1161
1327;Engine mount;DEA;50;1162
1328;Tie rod end;Mevotech;50;1163
1329;Shock absorber;KYB;75;1141
1330;Mass airflow sensor;Spectra Premium;150;1142
1331;Wheel cylinder;Raybestos;50;1154
1332;Suspension strut;Monroe;200;1156
1333;Transmission filter;Fram;50;1157
1334;Power steering pump;Cardone;150;1167
1335;Fuel pump;Delphi;150;1168
1336;Muffler;Walker;100;1135
1337;Wheel lug nuts;Dorman;25;1136
1338;Shock absorber;KYB;75;1138
1339;EGR valve;Standard Motor Products;50;1152
1340;Spark plugs;NGK;25;1161
1341;Brake caliper;Cardone;50;1163
1342;Tire rotation;-;100;1164
1343;Serpentine belt;Gates;75;1170
1344;Transmission shift cable;Pioneer Cables;50;1139
1345;Wheel lug nuts;Dorman;25;1143
1346;EGR valve gasket;Fel-Pro;25;1149
1347;Drive belt;Gates;25;1153
1348;Transmission mount;Anchor;50;1162
1349;Ignition coil;Delphi;100;1164
1350;Serpentine belt;Gates;75;1171
1351;Fuel pump;Delphi;150;1155
1352;Transmission mount;Westar;25;1158
1353;Camshaft position sensor;Dorman;100;1162
1354;Brake caliper;Cardone;50;1165
1355;Clutch kit;Exedy;200;1174
1356;EGR valve gasket;Fel-Pro;25;1177
1357;Catalytic converter;MagnaFlow;300;1167
1358;Brake rotor;Centric;100;1178
1359;Water pump;Airtex;200;1181
1360;Fuel injector;Bosch;100;1171
1361;Wheel hub assembly;Timken;200;1179
1362;Control arm bushing;Febi;50;1173
1363;Engine oil cooler;Dorman;75;1182
1364;Wheel bearing;SKF;50;1186
1365;Oil change;Mobil 1;150;1170
1366;Mass airflow sensor;Spectra Premium;150;1171
1367;EGR valve;Standard Motor Products;50;1177
1368;Transmission pan gasket;Fel-Pro;25;1183
1369;Exhaust manifold;Dorman;100;1192
1370;Drive belt;Gates;25;1196
1371;Battery;AC Delco;350;1197
1372;Alternator;Bosch;300;1172
1373;Wheel cylinder;Raybestos;50;1187
1374;EGR valve;Standard Motor Products;50;1192
1375;Oxygen sensor;Bosch;150;1198
1376;Ignition switch;ACDelco;50;1199
1377;Transmission control module;ACDelco;200;1176
1378;Drive belt;Gates;25;1185
1379;Engine mount;DEA;50;1195
1380;Wheel alignment;-;400;1206
1381;Wheel lug nuts;Dorman;25;1206
1382;Transmission shift solenoid;Rostra;75;1209
1383;Crankshaft position sensor;Beck/Arnley;50;1185
1384;Transmission pan gasket;Fel-Pro;25;1187
1385;Control arm bushing;Febi;50;1192
1386;CV joint;GSP;100;1195
1387;Muffler;Walker;100;1198
1388;Engine mount;DEA;50;1214
1394;Power steering pump;Cardone;150;1194
1395;Mass airflow sensor;Spectra Premium;150;1194
1391;Axle shaft;A1 Cardone;100;1189
1392;Engine mount;DEA;50;1190
1393;Control arm;Moog;75;1191
1394;Power steering pump;Cardone;150;1194
1395;Mass airflow sensor;Spectra Premium;150;1194
1396;Tire rotation;-;100;1198
1397;Windshield wipers;Rain-X;50;1211
1398;Radiator fan assembly;TYC;100;1217
1399;Camshaft position sensor;Dorman;100;1217
1400;Wheel hub assembly;Timken;200;1191
1401;EGR valve;ACDelco;75;1196
1402;Power steering pump;Cardone;150;1208
1403;Transmission mount;Westar;25;1224
1404;Muffler;Walker;100;1225
1405;Ignition switch;Standard Motor Products;25;1199
1406;Headlight assembly;TYC;100;1203
1407;Transmission control module;ACDelco;200;1207
1408;Fuel pressure regulator;Delphi;25;1214
1409;Headlight assembly;TYC;100;1216
1410;Camshaft position sensor;Dorman;100;1210
1411;Tire rotation;-;100;1217
1412;Mass airflow sensor;Spectra Premium;150;1225
1413;Axle shaft;A1 Cardone;100;1230
1414;Power steering hose;Gates;100;1234
1415;Oxygen sensor;Bosch;150;1224
1416;Radiator;Denso;350;1234
1417;Transmission shift cable;Pioneer Cables;50;1235
1418;Transmission fluid change;Valvoline;200;1236
1419;Spark plugs;NGK;25;1237
1420;Ignition switch;ACDelco;50;1210
1421;Thermostat;Stant;50;1212
1422;Ignition control module;ACDelco;50;1215
1423;Fuel tank;Spectra Premium;200;1222
1424;Ball joint;Moog;50;1231
1425;Transmission fluid change;Valvoline;200;1242
1426;Fuel tank filler neck;Dorman;50;1220
1427;Brake rotor;Centric;100;1226
1428;Power steering hose;Gates;100;1230
1429;Windshield wipers;Rain-X;50;1235
1430;Transmission control module;ACDelco;200;1236
1431;Ignition control module;ACDelco;50;1237
1432;Exhaust hanger;Walker;25;1245
1433;EGR valve;ACDelco;75;1222
1434;Control arm;Moog;75;1227
1435;Transmission shift solenoid;Rostra;75;1229
1436;Spark plugs;NGK;25;1229
1437;Wheel cylinder;Raybestos;50;1232
1438;Radiator fan assembly;TYC;100;1232
1439;Alternator;Bosch;300;1237
1440;Muffler;Walker;100;1223
1441;Thermostat;Stant;50;1224
1442;EGR valve gasket;Fel-Pro;25;1227
1443;Fuel injector;Bosch;100;1228
1444;Drive belt;Gates;25;1234
1445;Fuel filter;Wix;50;1236
1446;Ignition coil;Bosch;50;1240
1447;Throttle body;Dorman;75;1243
